"uuid";"sendervat";"sendername";"recipientvat";"recipientname";"documentid";"issuedate";"receiveddate"
"0006c03e-0ce0-464e-bfb0-5368e4173e46";"IT00155400351";"CDD S.P.A.";"IT02471370342";"DISPENSA ZANIBONI S.R.L.";"00366/V1";"2019-01-26 00:00:00";"2019-01-29 11:53:12"
"00548b7e-33d4-470d-8958-797188abdfa1";"IT00155400351";"CDD S.P.A.";"IT01220100885";"ERGON SOCIETA' CONSORTILE A R.L.";"00250/V1";"2019-01-19 00:00:00";"2019-01-22 08:48:11"
"0103e1df-87d6-4caf-b3db-656d3d5a7f37";"IT00155400351";"CDD S.P.A.";"IT04117520967";"COOP CONSORZIO NORD OVEST SOC.CONS. A R.L.";"07476/V1";"2018-12-28 00:00:00";"2019-01-03 11:18:05"
"01452428-7f5e-485f-95b5-b928b366a092";"IT00155400351";"CDD S.P.A.";"IT04312920160";"IL GRANATO SRL";"00270/V1";"2019-01-19 00:00:00";"2019-01-22 08:48:03"
"0196e872-69c4-4e8c-b800-cc99cfab7d6b";"IT00155400351";"CDD S.P.A.";"IT03570410989";"ITALBRIX S.P.A.";"00459/V1";"2019-01-31 00:00:00";"2019-02-01 17:55:55"
"019777eb-9363-458f-b78e-a1150be03766";"IT00155400351";"CDD S.P.A.";"IT91080010357";"ASAF ONLUS";"00017/V4";"2019-01-22 00:00:00";"2019-01-29 11:53:12"
"019d4b4c-2279-4fbf-94e0-4ed9bcc2dbcd";"IT00155400351";"CDD S.P.A.";"IT06664820823";"CORAMA S.R.L. UNINOMINALE";"00381/V1";"2019-01-26 00:00:00";"2019-01-29 11:52:45"
"01abb0f1-b2aa-4203-b480-d23ac36ae791";"IT00155400351";"CDD S.P.A.";"IT12683790153";"GS S.P.A.";"00692/V1";"2019-02-09 00:00:00";"2019-02-15 11:46:47"
"01ad81de-9bae-4b6b-b1cb-f7f9e729ff6b";"IT00155400351";"CDD S.P.A.";"IT01286680234";"SUPERMERCATI TOSANO CEREA S.R.L.";"00581/V1";"2019-01-31 00:00:00";"2019-02-04 18:06:44"
"01bd845f-2996-4ffe-941a-ce6783733400";"IT00155400351";"CDD S.P.A.";"IT04117520967";"COOP CONSORZIO NORD OVEST SOC.CONS. A R.L.";"00127/V1";"2019-01-12 00:00:00";"2019-01-15 17:28:06"
"01d05b7b-a6e5-436b-876a-8e4fa8bd4d38";"IT00155400351";"CDD S.P.A.";"IT02795150362";"CENTRALE ADRIATICA SOC.COOP.";"00349/V1";"2019-01-26 00:00:00";"2019-01-29 11:53:34"
"01db972f-6c51-46e3-b49b-d96c94a74a44";"IT00155400351";"CDD S.P.A.";"IT02891660165";"BICOM S.R.L.";"00629/V1";"2019-01-31 00:00:00";"2019-02-06 18:08:33"
"02102f51-40dd-48ac-b911-f69930324f9a";"IT00155400351";"CDD S.P.A.";"IT00542090238";"MAXI DI S.R.L.";"00342/V1";"2019-01-26 00:00:00";"2019-01-29 11:53:33"
"0220a8ea-2803-4d08-8609-187b2f861f7c";"IT00155400351";"CDD S.P.A.";"IT11392351000";"RICA GEST S.R.L.";"00482/V1";"2019-01-31 00:00:00";"2019-02-01 17:55:05"
"024a2587-c569-41fe-ab07-09efccadf90f";"IT00155400351";"CDD S.P.A.";"IT02795150362";"CENTRALE ADRIATICA SOC.COOP.";"00352/V1";"2019-01-26 00:00:00";"2019-01-29 11:53:33"
"02b65e9f-4821-48e9-b016-16456ae0a849";"IT00155400351";"CDD S.P.A.";"IT04766841003";"EUROSPIN LAZIO S.P.A.";"00540/V1";"2019-01-31 00:00:00";"2019-02-04 18:07:03"
"0306bfd9-dab3-41ff-8ded-b542874bff8c";"IT00155400351";"CDD S.P.A.";"IT01762320842";"CARUANA GROUP S.R.L.";"07530/V1";"2018-12-31 00:00:00";"2019-01-11 12:18:02"
"031ae78e-424f-4151-a53e-387798f0c317";"IT00155400351";"CDD S.P.A.";"IT01751820356";"CONAD CENTRO NORD SOC.COOP.";"00675/V1";"2019-02-09 00:00:00";"2019-02-15 11:48:04"
"03f9c78a-36df-4e87-a161-8ca4698ae852";"IT00155400351";"CDD S.P.A.";"IT03349310965";"AUCHAN S.P.A.";"00584/V1";"2019-01-31 00:00:00";"2019-02-04 18:07:05"
"042de3f9-1e2b-42ba-8b1e-14facc509523";"IT00155400351";"CDD S.P.A.";"IT01751820356";"CONAD CENTRO NORD SOC.COOP.";"00004/V1";"2019-01-05 00:00:00";"2019-01-08 16:40:06"
"0486090e-889d-4c3b-87da-92b868ab1342";"IT00155400351";"CDD S.P.A.";"IT01751820356";"CONAD CENTRO NORD SOC.COOP.";"00001/V1";"2019-01-05 00:00:00";"2019-01-08 16:40:08"
"04a9e120-8d94-4a5f-8939-2dbdbd83a0c4";"IT00155400351";"CDD S.P.A.";"IT08970540152";"SMA S.P.A.";"00110/V1";"2019-01-12 00:00:00";"2019-01-15 17:28:09"
"04e2404c-7221-44d9-8cf0-2de9b9772825";"IT00155400351";"CDD S.P.A.";"IT00464110352";"CIR FOOD COOPERATIVA ITALIANA DI RI STORAZIONE S.C.";"07495/V1";"2018-12-28 00:00:00";"2019-01-03 11:18:06"
"056ba367-2b3e-4d1d-9c48-bce71d089aa3";"IT00155400351";"CDD S.P.A.";"IT09724910964";"LEADER PRICE ITALIA SPA CENTRO DIREZ.MILANO 2-PALAZ.CANOVA";"00165/V1";"2019-01-12 00:00:00";"2019-01-15 17:28:04"
"0577f7bc-f58b-4297-91df-1533f2149fed";"IT00155400351";"CDD S.P.A.";"IT03419760925";"S.D.S. COMMERCIALE S.R.L.";"00057/V1";"2019-01-05 00:00:00";"2019-01-08 16:40:05"
"057e5990-d406-4aa6-aa63-05165573133a";"IT00155400351";"CDD S.P.A.";"IT03639341209";"PINETA S.R.L.";"00770/V1";"2019-02-09 00:00:00";"2019-02-17 22:49:58"
"0622edfa-778d-405b-b1a4-14156ee67f4e";"IT00155400351";"CDD S.P.A.";"IT03653460877";"EUROSPIN SICILIA S.P.A.";"00545/V1";"2019-01-31 00:00:00";"2019-02-04 18:07:02"
"06689b7d-c856-4b6e-8db3-d990b5a21fd4";"IT00155400351";"CDD S.P.A.";"IT01751820356";"CONAD CENTRO NORD SOC.COOP.";"00284/V1";"2019-01-26 00:00:00";"2019-01-29 11:53:43"
"069b907d-fd84-4e78-9a89-dd73e92f20dc";"IT00155400351";"CDD S.P.A.";"IT01527900540";"GMF GRANDI MAGAZZINI FIORONI SPA";"00449/V1";"2019-01-31 00:00:00";"2019-02-01 17:55:38"
"06bcafa5-8f06-403b-9c34-8d00ae51ab61";"IT00155400351";"CDD S.P.A.";"IT01751820356";"CONAD CENTRO NORD SOC.COOP.";"00662/V1";"2019-02-09 00:00:00";"2019-02-15 11:46:52"
"06c32326-b82f-428c-9a13-7cfe0aa427f2";"IT00155400351";"CDD S.P.A.";"IT01994761201";"ANDROMEDA S.R.L.";"07532/V1";"2018-12-31 00:00:00";"2019-01-11 12:18:04"
"07ecaf5e-aa80-4e21-85ee-48544b684337";"IT00155400351";"CDD S.P.A.";"IT02393060542";"MADIGEST S.R.L.";"00766/V1";"2019-02-09 00:00:00";"2019-02-15 11:46:19"
"08457ac3-0248-4042-b26a-74a76267322c";"IT00155400351";"CDD S.P.A.";"IT08970540152";"SMA S.P.A.";"07472/V1";"2018-12-28 00:00:00";"2019-01-03 11:18:07"
"089485f2-6ed9-48ae-a6b2-6ad86548a034";"IT00155400351";"CDD S.P.A.";"IT09724910964";"LEADER PRICE ITALIA SPA CENTRO DIREZ.MILANO 2-PALAZ.CANOVA";"00775/V1";"2019-02-09 00:00:00";"2019-02-15 11:46:20"
"08dbc763-29a1-46ea-979d-547da562f937";"IT00155400351";"CDD S.P.A.";"IT06125250826";"GI.DAP S.R.L.";"07496/V1";"2018-12-28 00:00:00";"2019-01-03 11:18:06"
"08e61f28-0557-46f7-8bcb-615e48abc54e";"IT00155400351";"CDD S.P.A.";"IT02696660352";"SUPERMERCATI DELL'ARGINE S.R.L. A SOCIO UNICO";"00380/V1";"2019-01-26 00:00:00";"2019-01-29 11:52:15"
"093709d6-8274-4762-92d8-c37e389cd927";"IT00155400351";"CDD S.P.A.";"IT02795150362";"CENTRALE ADRIATICA SOC.COOP.";"00241/V1";"2019-01-19 00:00:00";"2019-01-22 08:48:27"
"096ff380-7345-4949-9920-72f24d771eea";"IT00155400351";"CDD S.P.A.";"IT01206220053";"CENTRO 3A S.P.A.";"00374/V1";"2019-01-26 00:00:00";"2019-01-29 11:52:33"
"0978eb95-f81f-4b86-becb-ac001acc8289";"IT00155400351";"CDD S.P.A.";"IT00935301002";"DEMAS SRL";"00172/V1";"2019-01-12 00:00:00";"2019-01-15 17:28:06"
"0990afcb-b117-4f19-920f-394cd8d65ce9";"IT00155400351";"CDD S.P.A.";"IT04916380159";"ESSELUNGA S.P.A.";"07466/V1";"2018-12-28 00:00:00";"2019-01-03 11:18:06"
"09de86e3-54fb-4c2a-9c30-3d7026873672";"IT00155400351";"CDD S.P.A.";"IT00542090238";"MAXI DI S.R.L.";"00139/V1";"2019-01-12 00:00:00";"2019-01-15 17:28:06"
"09e384f5-6c5a-416c-afe4-7c384a1c507b";"IT00155400351";"CDD S.P.A.";"IT01620960763";"QUI DISCOUNT S.P.A.";"00726/V1";"2019-02-09 00:00:00";"2019-02-15 11:46:55"
"0aa6c58c-6173-417b-afce-390073032184";"IT00155400351";"CDD S.P.A.";"IT01751820356";"CONAD CENTRO NORD SOC.COOP.";"00279/V1";"2019-01-26 00:00:00";"2019-01-29 11:53:01"
"0aed535b-f529-4651-8ee0-32d5ebe17e31";"IT00155400351";"CDD S.P.A.";"IT04916380159";"ESSELUNGA S.P.A.";"00315/V1";"2019-01-26 00:00:00";"2019-01-29 11:52:49"
"0b10d347-3b46-4235-851a-753859b7cd3e";"IT00155400351";"CDD S.P.A.";"IT05135490877";"TO.CAL. DISTRIBUZIONE S.R.L.";"00056/V1";"2019-01-05 00:00:00";"2019-01-08 16:40:01"
"0b5f8163-d984-48f1-8d4c-924a576f8cb1";"IT00155400351";"CDD S.P.A.";"IT00542090238";"MAXI DI S.R.L.";"00047/V1";"2019-01-05 00:00:00";"2019-01-08 16:40:06"
"0bd05c3a-4b15-41d2-b728-dc162470b157";"IT00155400351";"CDD S.P.A.";"IT11392351000";"RICA GEST S.R.L.";"00466/V1";"2019-01-31 00:00:00";"2019-02-01 17:55:55"
"0d040065-2c02-460c-8eeb-29551a3b48c6";"IT00155400351";"CDD S.P.A.";"IT08970540152";"SMA S.P.A.";"00708/V1";"2019-02-09 00:00:00";"2019-02-15 11:47:50"
"0d0d6fc6-1cfd-40f1-bd5c-22099aa41681";"IT00155400351";"CDD S.P.A.";"IT01751820356";"CONAD CENTRO NORD SOC.COOP.";"00286/V1";"2019-01-26 00:00:00";"2019-01-29 11:53:00"
"0d23fab3-787a-422e-8863-89f3e3f162b3";"IT00155400351";"CDD S.P.A.";"IT04916380159";"ESSELUNGA S.P.A.";"00104/V1";"2019-01-12 00:00:00";"2019-01-15 17:28:10"
"0d79fb9c-d99a-4639-b617-61d7b0e9fe6d";"IT00155400351";"CDD S.P.A.";"IT00321150260";"SUPERMERCATI VISOTTO SRL";"00778/V1";"2019-02-09 00:00:00";"2019-02-15 11:46:24"
"0d96bb9d-1131-4fa7-9af0-c50736b7bfcc";"IT00155400351";"CDD S.P.A.";"IT04916380159";"ESSELUNGA S.P.A.";"00572/V1";"2019-01-31 00:00:00";"2019-02-04 18:06:22"
"0e396cd7-2ca5-4721-bcd8-a677875c0126";"IT00155400351";"CDD S.P.A.";"IT00145160354";"REALCO SOCIETA' COOPERATIVA";"00417/V1";"2019-01-31 00:00:00";"2019-02-01 17:52:47"
"0e452d0d-2ad5-41d0-bef5-d08d536f715d";"IT00155400351";"CDD S.P.A.";"IT03349310965";"AUCHAN S.P.A.";"00117/V1";"2019-01-12 00:00:00";"2019-01-15 17:28:07"
"0e5bfe9d-a31a-4cbf-9d38-04bc999cc979";"IT00155400351";"CDD S.P.A.";"IT09620330960";"SUPERMERCATI DELL'ADDA SRL";"00261/V1";"2019-01-19 00:00:00";"2019-01-22 08:48:07"
